name,position,proBowl,age,qb,rb,k,te,wr,gamesPlayed,gamesStarted,receptions,longestReception,longestRushingAttempt,pickNumber,ydsSkd,fantasyPoints,imgPath,createdAt,updatedAt
Andrew Luck,QB,0,27,1,0,0,0,0,10,10,0,0,0,1,219,203.256,andrewluck.png,,
Drew Brees,QB,0,37,1,0,0,0,0,11,11,0,0,0,32,123,189.156,drewbrees.png,,
Ben Roethlisberger,QB,0,34,1,0,0,0,0,10,10,0,0,0,7,123,173.528,benroethlisberger.png,,
Carson Palmer,QB,0,37,1,0,0,0,0,10,10,0,0,0,7,222,232.708,carsonpalmer.png,,
Tom Brady,QB,0,39,1,0,0,0,0,7,7,0,0,0,175,62,121.788,traviskelce.png,,
Eli Manning,QB,0,35,1,0,0,0,0,11,11,0,0,0,7,75,160.275,elimanning.png,,
Blake Bortles,QB,0,24,1,0,0,0,0,11,11,0,0,0,7,132,158.407,blakebortles.png,,
Philip Rivers,QB,0,35,1,0,0,0,0,11,11,0,0,0,65,142,191.455,philiprivers.png,,
Tyrod Taylor,QB,0,27,1,0,0,0,0,11,11,0,0,0,8,136,168.873,tyrodtaylor.png,,
Kirk Cousins,QB,0,28,1,0,0,0,0,11,11,0,0,0,103,108,152.216,kirkcousins.png,,
Derek Carr,QB,0,25,1,0,0,0,0,11,11,0,0,0,7,50,119.23,derekcarr.png,,
Marcus Mariota,QB,0,23,1,0,0,0,0,12,12,0,0,0,73,129,158.985,marcusmariota.png,,
Matthew Stafford,QB,0,28,1,0,0,0,0,11,11,0,0,0,65,147,174.248,mattprater.png,,
Andy Dalton,QB,0,29,1,0,0,0,0,11,11,0,0,0,7,188,201.21,andydalton.png,,
Jameis Winston,QB,0,22,1,0,0,0,0,11,11,0,0,0,103,155,159.346,jameiswinston.png,,
Ryan Fitzpatrick,QB,0,34,1,0,0,0,0,10,9,0,0,0,175,73,134.316,ryanfitzpatrick.png,,
Ryan Tannehill,QB,0,28,1,0,0,0,0,11,11,0,0,0,175,194,192.37,ryantannehill.png,,
